user_id,age,gender,province,device_type,registration_date,last_login_date,days_since_reg,days_since_last_login,sessions_last_7d,level,total_spent,is_payer,churn_next_7d
user_61,16,Female,Sichuan,Android,2025-09-03,2025-12-06,119,25,0,16,0.0,0,1
user_62,46,Female,Sichuan,Android,2025-05-17,2025-12-24,228,7,7,44,0.0,0,1
user_63,21,Female,Zhejiang,iOS,2025-02-05,2025-12-23,329,8,0,100,0.0,0,1
user_64,16,Female,Sichuan,Android,2025-08-22,2025-11-12,131,49,0,13,0.0,0,1
user_65,27,Female,Guangdong,Android,2025-04-22,2025-11-10,253,51,0,18,0.0,0,1
user_66,44,Female,Guangdong,Android,2025-08-03,2025-12-20,150,11,0,21,0.0,0,1
user_67,37,Male,Guangdong,iOS,2025-01-18,2025-12-30,347,1,19,100,197.68,1,0
user_68,44,Female,Sichuan,iOS,2025-08-24,2025-12-31,129,0,19,48,0.0,0,0
user_69,40,Male,Guangdong,Android,2025-01-19,2025-12-30,346,1,20,100,64.08,1,0
user_70,45,Male,Sichuan,iOS,2025-06-09,2025-12-23,205,8,0,39,0.0,0,0
user_71,32,Female,Beijing,iOS,2025-12-02,2025-12-31,29,0,15,12,9.44,1,0
user_72,45,Male,Sichuan,Android,2025-06-04,2025-12-23,210,8,0,77,0.0,0,1
user_73,37,Female,Shanghai,iOS,2025-08-19,2025-12-02,134,29,0,7,0.0,0,1
user_74,23,Female,Shanghai,Android,2025-03-21,2025-12-31,285,0,19,88,0.0,0,0
user_75,49,Male,Zhejiang,iOS,2025-07-02,2025-12-23,182,8,0,34,0.0,0,1
user_76,17,Male,Sichuan,iOS,2025-12-18,2025-12-05,13,26,0,1,0.0,0,1
user_77,37,Male,Shanghai,Android,2025-10-10,2025-11-05,82,56,0,7,0.0,0,1
user_78,42,Male,Shanghai,iOS,2025-11-21,2025-11-22,40,39,0,6,0.0,0,1
user_79,17,Female,Guangdong,Android,2025-09-11,2025-12-25,111,6,13,30,0.0,0,0
user_80,24,Male,Zhejiang,Android,2025-05-29,2025-12-15,216,16,0,27,0.0,0,1
user_81,36,Female,Sichuan,iOS,2025-04-20,2025-12-28,255,3,16,78,189.71,1,0
user_82,44,Male,Shanghai,Android,2025-01-25,2025-11-05,340,56,0,15,0.0,0,1
user_83,48,Female,Shanghai,Android,2025-03-22,2025-12-28,284,3,7,53,0.0,0,0
user_84,42,Male,Shanghai,iOS,2025-05-30,2025-12-28,215,3,12,42,0.0,0,0
user_85,30,Female,Guangdong,Android,2025-06-15,2025-12-25,199,6,12,48,0.0,0,0
user_86,36,Female,Guangdong,Android,2025-10-08,2025-12-31,84,0,18,29,25.76,1,0
user_87,38,Male,Beijing,iOS,2025-06-04,2025-12-03,210,28,0,26,0.0,0,1
user_88,26,Male,Zhejiang,Android,2025-03-27,2025-11-14,279,47,0,40,0.0,0,1
user_89,40,Male,Sichuan,iOS,2025-09-17,2025-12-26,105,5,6,16,0.0,0,0
user_90,24,Female,Zhejiang,iOS,2025-02-17,2025-12-07,317,24,0,31,0.0,0,1
user_91,43,Female,Shanghai,Android,2025-04-21,2025-12-26,254,5,11,50,0.0,0,0
user_92,47,Female,Sichuan,iOS,2025-07-24,2025-12-12,160,19,0,25,0.0,0,1
user_93,48,Male,Zhejiang,iOS,2025-06-09,2025-12-17,205,14,0,4,0.0,0,1
user_94,42,Female,Beijing,Android,2025-02-18,2025-12-22,316,9,0,83,0.0,0,0
user_95,27,Male,Beijing,iOS,2025-09-15,2025-12-25,107,6,15,28,32.69,1,0
user_96,31,Male,Guangdong,Android,2025-06-03,2025-12-14,211,17,0,6,0.0,0,1
user_97,20,Female,Beijing,iOS,2025-03-24,2025-12-31,282,0,17,76,0.0,0,0
user_98,44,Female,Sichuan,iOS,2025-02-20,2025-12-02,314,29,0,12,0.0,0,1
user_99,47,Female,Shanghai,iOS,2025-12-09,2025-12-09,22,22,0,1,0.0,0,1
user_100,49,Male,Zhejiang,iOS,2025-04-12,2025-11-14,263,47,0,10,0.0,0,0
user_101,43,Female,Beijing,Android,2025-07-22,2025-12-25,162,6,9,36,0.0,0,0
user_102,43,Female,Zhejiang,iOS,2025-10-26,2025-11-25,66,36,0,11,0.0,0,1
user_103,21,Male,Guangdong,Android,2025-09-18,2025-12-16,104,15,0,11,0.0,0,1
user_104,32,Female,Sichuan,iOS,2025-06-13,2025-12-21,201,10,0,32,0.0,0,0
user_105,32,Male,Sichuan,iOS,2025-06-28,2025-12-29,186,2,16,62,190.28,1,0
user_106,29,Female,Zhejiang,iOS,2025-07-02,2025-12-25,182,6,7,30,0.0,0,0
user_107,50,Female,Zhejiang,iOS,2025-05-09,2025-12-25,236,6,9,48,0.0,0,1
user_108,48,Male,Sichuan,Android,2025-06-08,2025-12-27,206,4,11,42,42.96,1,0
user_109,16,Female,Shanghai,iOS,2025-09-24,2025-12-19,98,12,0,2,0.0,0,1
user_110,36,Female,Sichuan,Android,2025-03-10,2025-12-12,296,19,0,21,0.0,0,1
user_111,25,Female,Beijing,Android,2025-04-02,2025-12-31,273,0,18,97,0.0,0,0
user_112,20,Male,Shanghai,iOS,2025-11-12,2025-12-22,49,9,0,13,0.0,0,0
user_113,46,Female,Beijing,Android,2025-11-09,2025-12-25,52,6,6,10,0.0,0,0
user_114,22,Male,Guangdong,Android,2025-11-08,2025-12-21,53,10,0,10,0.0,0,0
user_115,46,Male,Sichuan,Android,2025-04-18,2025-12-31,257,0,18,82,80.8,1,0
user_116,27,Male,Guangdong,Android,2025-07-05,2025-11-06,179,55,0,27,0.0,0,1
user_117,30,Female,Shanghai,Android,2025-07-30,2025-11-02,154,59,0,18,0.0,0,1
user_118,27,Male,Shanghai,Android,2025-04-26,2025-12-22,249,9,0,57,1582.71,1,0
user_119,33,Female,Zhejiang,iOS,2025-12-14,2025-11-15,17,46,0,2,0.0,0,1
user_120,46,Female,Shanghai,iOS,2025-04-01,2025-11-25,274,36,0,46,0.0,0,1
user_121,38,Male,Zhejiang,iOS,2025-01-26,2025-11-26,339,35,0,27,0.0,0,1
user_122,45,Male,Shanghai,Android,2025-03-05,2025-12-22,301,9,0,100,0.0,0,0
user_123,27,Male,Sichuan,Android,2025-01-16,2025-12-18,349,13,0,1,0.0,0,1
user_124,45,Male,Sichuan,iOS,2025-12-21,2025-11-23,10,38,0,1,0.0,0,1
user_125,19,Male,Zhejiang,iOS,2025-12-16,2025-12-30,15,1,19,5,32.2,1,0
user_126,48,Male,Shanghai,Android,2025-01-23,2025-12-24,342,7,15,100,0.0,0,0
user_127,48,Male,Shanghai,Android,2025-04-21,2025-12-29,254,2,17,92,178.07,1,0
user_128,44,Female,Sichuan,iOS,2025-10-29,2025-12-29,63,2,18,25,0.0,0,0
user_129,36,Female,Zhejiang,Android,2025-11-26,2025-12-31,35,0,17,15,159.99,1,0
user_130,20,Male,Zhejiang,iOS,2025-05-25,2025-11-08,220,53,0,34,0.0,0,0
user_131,16,Male,Shanghai,Android,2025-04-15,2025-12-23,260,8,0,71,0.0,0,0
user_132,40,Female,Beijing,Android,2025-03-04,2025-12-21,302,10,0,51,0.0,0,0
user_133,32,Male,Guangdong,iOS,2025-10-18,2025-12-27,74,4,9,16,0.0,0,0
user_134,16,Male,Sichuan,Android,2025-12-11,2025-12-10,20,21,0,2,0.0,0,1
user_135,45,Male,Beijing,Android,2025-02-24,2025-11-12,310,49,0,54,0.0,0,1
user_136,43,Female,Guangdong,Android,2025-09-06,2025-11-09,116,52,0,1,0.0,0,1
user_137,19,Male,Shanghai,Android,2025-01-01,2025-12-24,364,7,13,85,72.16,1,0
user_138,45,Male,Zhejiang,iOS,2025-11-20,2025-12-01,41,30,0,6,0.0,0,1
user_139,40,Male,Sichuan,Android,2025-06-27,2025-12-30,187,1,19,86,0.0,0,0
user_140,50,Female,Zhejiang,iOS,2025-01-26,2025-11-16,339,45,0,16,0.0,0,1
user_141,36,Female,Beijing,iOS,2025-01-28,2025-12-27,337,4,9,70,0.0,0,0
user_142,18,Male,Beijing,Android,2025-06-24,2025-12-30,190,1,18,70,0.0,0,0
user_143,18,Female,Shanghai,iOS,2025-06-28,2025-11-30,186,31,0,17,0.0,0,1
user_144,25,Male,Zhejiang,iOS,2025-10-23,2025-12-15,69,16,0,7,0.0,0,1
user_145,47,Female,Guangdong,iOS,2025-06-24,2025-11-20,190,41,0,2,0.0,0,1
user_146,32,Female,Guangdong,Android,2025-12-20,2025-12-30,11,1,21,4,0.0,0,0
user_147,35,Male,Zhejiang,iOS,2025-12-07,2025-11-09,24,52,0,4,0.0,0,0
user_148,38,Female,Shanghai,Android,2025-10-22,2025-12-31,70,0,19,33,4608.25,1,0
user_149,17,Female,Shanghai,iOS,2025-03-11,2025-12-21,295,10,0,100,0.0,0,1
user_150,24,Female,Shanghai,iOS,2025-01-16,2025-12-31,349,0,14,100,37.53,1,0
user_151,46,Male,Beijing,Android,2025-06-02,2025-12-11,212,20,0,20,0.0,0,1
user_152,32,Female,Shanghai,iOS,2025-08-05,2025-12-13,148,18,0,13,0.0,0,1
user_153,47,Male,Beijing,Android,2025-09-02,2025-12-29,120,2,17,40,190.47,1,0
user_154,40,Male,Beijing,iOS,2025-09-06,2025-12-16,116,15,0,12,0.0,0,1
user_155,44,Female,Zhejiang,iOS,2025-08-01,2025-11-20,152,41,0,22,0.0,0,1
user_156,21,Female,Shanghai,iOS,2025-05-11,2025-11-11,234,50,0,17,0.0,0,1
user_157,35,Female,Beijing,iOS,2025-10-24,2025-12-18,68,13,0,7,0.0,0,1
user_158,24,Female,Sichuan,Android,2025-10-02,2025-12-25,90,6,9,24,0.0,0,0
user_159,26,Female,Shanghai,Android,2025-08-11,2025-12-16,142,15,0,7,0.0,0,0
user_160,44,Female,Sichuan,iOS,2025-09-10,2025-12-28,112,3,8,22,0.0,0,0
user_161,43,Female,Zhejiang,iOS,2025-10-15,2025-12-04,77,27,0,7,0.0,0,1
user_162,27,Male,Guangdong,iOS,2025-01-16,2025-12-22,349,9,0,100,0.0,0,1
user_163,49,Female,Guangdong,Android,2025-07-24,2025-12-26,160,5,11,40,0.0,0,0
user_164,40,Female,Shanghai,iOS,2025-07-29,2025-11-26,155,35,0,11,0.0,0,0
user_165,46,Male,Zhejiang,Android,2025-01-30,2025-12-31,335,0,14,100,182.07,1,0
user_166,32,Male,Beijing,Android,2025-08-03,2025-12-01,150,30,0,26,0.0,0,1
user_167,32,Male,Shanghai,Android,2025-01-28,2025-12-22,337,9,0,93,28.11,1,0
user_168,31,Male,Shanghai,Android,2025-11-14,2025-12-26,47,5,12,14,102.27,1,0
user_169,22,Male,Guangdong,iOS,2025-07-11,2025-11-15,173,46,0,23,0.0,0,1
user_170,42,Female,Guangdong,Android,2025-09-20,2025-11-05,102,56,0,7,0.0,0,1
user_171,40,Female,Beijing,Android,2025-12-18,2025-11-22,13,39,0,3,0.0,0,1
user_172,31,Male,Zhejiang,Android,2025-02-07,2025-12-27,327,4,7,63,0.0,0,1
user_173,39,Male,Zhejiang,Android,2025-01-18,2025-12-25,347,6,8,64,0.0,0,0
user_174,41,Male,Shanghai,iOS,2025-11-05,2025-12-26,56,5,7,11,0.0,0,0
user_175,19,Male,Shanghai,Android,2025-04-10,2025-11-20,265,41,0,10,0.0,0,1
user_176,43,Male,Zhejiang,Android,2025-09-20,2025-12-24,102,7,11,24,0.0,0,0
user_177,16,Male,Shanghai,Android,2025-03-24,2025-12-12,282,19,0,9,0.0,0,1
user_178,34,Female,Guangdong,Android,2025-07-18,2025-11-26,166,35,0,23,0.0,0,1
user_179,40,Female,Shanghai,Android,2025-03-20,2025-12-02,286,29,0,23,0.0,0,1
user_180,33,Male,Shanghai,Android,2025-11-12,2025-12-29,49,2,17,18,0.0,0,0
user_181,33,Female,Beijing,Android,2025-06-13,2025-12-08,201,23,0,30,0.0,0,1
user_182,45,Female,Shanghai,Android,2025-02-21,2025-12-27,313,4,10,62,0.0,0,0
user_183,48,Male,Zhejiang,Android,2025-08-02,2025-12-19,151,12,0,9,0.0,0,0
user_184,32,Female,Sichuan,Android,2025-04-21,2025-12-27,254,4,15,76,89.9,1,0
user_185,44,Male,Beijing,iOS,2025-04-08,2025-12-28,267,3,13,71,0.0,0,0
user_186,22,Female,Beijing,Android,2025-04-29,2025-11-20,246,41,0,26,0.0,0,1
user_187,21,Male,Guangdong,Android,2025-02-28,2025-12-28,306,3,10,79,0.0,0,0
user_188,43,Female,Shanghai,Android,2025-01-10,2025-12-29,355,2,18,100,32.99,1,0
user_189,42,Female,Guangdong,iOS,2025-03-24,2025-12-07,282,24,0,30,0.0,0,1
user_190,17,Male,Zhejiang,iOS,2025-07-29,2025-12-29,155,2,18,46,33.99,1,0
user_191,42,Male,Shanghai,iOS,2025-07-04,2025-11-19,180,42,0,6,0.0,0,1
user_192,21,Male,Zhejiang,Android,2025-04-11,2025-12-21,264,10,0,61,0.0,0,0
user_193,44,Male,Zhejiang,iOS,2025-11-08,2025-12-06,53,25,0,2,0.0,0,1
user_194,18,Female,Guangdong,iOS,2025-03-18,2025-12-11,288,20,0,31,0.0,0,1
user_195,34,Male,Shanghai,Android,2025-05-28,2025-12-28,217,3,14,74,0.0,0,0
user_196,24,Male,Sichuan,iOS,2025-11-04,2025-11-02,57,59,0,9,0.0,0,1
user_197,32,Male,Zhejiang,iOS,2025-11-14,2025-12-23,47,8,0,9,0.0,0,0
user_198,17,Male,Beijing,Android,2025-04-06,2025-12-30,269,1,16,88,0.0,0,0
user_199,35,Male,Sichuan,iOS,2025-05-27,2025-11-24,218,37,0,5,0.0,0,1
user_200,35,Female,Beijing,iOS,2025-06-21,2025-12-24,193,7,13,68,0.0,0,0
user_201,38,Female,Guangdong,iOS,2025-09-12,2025-11-14,110,47,0,15,0.0,0,1
user_202,16,Female,Guangdong,Android,2024-12-31,2025-12-25,365,6,11,85,0.0,0,0
user_203,36,Male,Zhejiang,iOS,2025-04-07,2025-12-11,268,20,0,15,0.0,0,1
user_204,44,Female,Shanghai,iOS,2025-07-10,2025-12-31,174,0,15,64,0.0,0,0
user_205,27,Female,Zhejiang,Android,2025-03-13,2025-12-21,293,10,0,64,0.0,0,0
user_206,44,Male,Sichuan,iOS,2025-05-26,2025-12-22,219,9,0,60,84.75,1,1
user_207,31,Female,Shanghai,Android,2025-12-02,2025-12-31,29,0,20,14,0.0,0,0
user_208,19,Male,Beijing,Android,2025-06-02,2025-12-28,212,3,14,54,0.0,0,0
user_209,16,Female,Beijing,iOS,2025-07-01,2025-12-28,183,3,11,57,105.15,1,0
user_210,26,Female,Sichuan,iOS,2025-09-03,2025-12-24,119,7,14,40,195.24,1,0
user_211,20,Female,Zhejiang,iOS,2025-03-23,2025-12-28,283,3,10,70,120.33,1,1
user_212,18,Male,Guangdong,Android,2025-03-17,2025-12-31,289,0,17,100,0.0,0,0
user_213,41,Male,Guangdong,Android,2025-07-05,2025-12-21,179,10,0,37,0.0,0,1
user_214,17,Female,Zhejiang,Android,2025-03-01,2025-12-24,305,7,9,54,0.0,0,0
user_215,37,Male,Beijing,Android,2025-06-07,2025-11-09,207,52,0,17,0.0,0,1
user_216,16,Female,Shanghai,Android,2025-04-14,2025-12-30,261,1,16,100,0.0,0,0
user_217,47,Male,Shanghai,Android,2025-05-22,2025-12-23,223,8,0,49,0.0,0,0
user_218,19,Male,Guangdong,iOS,2025-06-21,2025-12-30,193,1,18,83,0.0,0,0
user_219,33,Male,Shanghai,Android,2025-03-25,2025-11-18,281,43,0,36,0.0,0,1
user_220,25,Female,Beijing,Android,2025-07-29,2025-11-10,155,51,0,18,0.0,0,1
user_221,26,Female,Sichuan,Android,2025-04-22,2025-12-21,253,10,0,66,0.0,0,1
user_222,40,Male,Guangdong,Android,2025-07-12,2025-12-22,172,9,0,30,0.0,0,0
user_223,29,Male,Zhejiang,iOS,2025-07-14,2025-12-24,170,7,16,51,0.0,0,0
user_224,25,Male,Beijing,iOS,2025-09-21,2025-12-30,101,1,16,37,0.0,0,0
user_225,48,Male,Zhejiang,iOS,2025-08-11,2025-12-27,142,4,11,26,0.0,0,0
user_226,41,Male,Sichuan,iOS,2025-08-25,2025-11-11,128,50,0,5,0.0,0,1
user_227,36,Female,Beijing,Android,2025-08-29,2025-12-28,124,3,11,28,0.0,0,0
user_228,26,Female,Zhejiang,Android,2025-05-07,2025-12-31,238,0,18,96,15.49,1,0
user_229,28,Female,Zhejiang,Android,2025-09-24,2025-12-10,98,21,0,11,0.0,0,1
user_230,37,Female,Guangdong,iOS,2025-03-02,2025-12-21,304,10,0,63,0.0,0,0
user_231,20,Female,Shanghai,iOS,2025-02-22,2025-12-27,312,4,15,93,183.13,1,0
user_232,19,Male,Sichuan,iOS,2025-02-07,2025-12-28,327,3,12,100,0.0,0,0
user_233,43,Female,Shanghai,iOS,2025-09-18,2025-11-07,104,54,0,4,0.0,0,1
user_234,19,Male,Shanghai,iOS,2025-01-15,2025-12-29,350,2,17,100,0.0,0,0
user_235,18,Female,Zhejiang,Android,2025-11-18,2025-12-31,43,0,19,17,26.99,1,0
user_236,27,Female,Guangdong,iOS,2025-03-28,2025-11-09,278,52,0,20,0.0,0,1
user_237,48,Female,Beijing,iOS,2025-08-03,2025-12-27,150,4,12,33,0.0,0,0
user_238,24,Male,Beijing,iOS,2025-07-19,2025-12-23,165,8,0,27,0.0,0,0
user_239,42,Female,Beijing,Android,2025-09-14,2025-11-12,108,49,0,12,0.0,0,1
user_240,44,Male,Zhejiang,iOS,2025-09-05,2025-11-18,117,43,0,1,0.0,0,1
user_241,32,Female,Beijing,iOS,2025-06-23,2025-11-25,191,36,0,21,0.0,0,1
user_242,34,Male,Zhejiang,iOS,2025-09-08,2025-11-29,114,32,0,17,0.0,0,1
user_243,29,Male,Zhejiang,iOS,2025-01-01,2025-12-04,364,27,0,23,0.0,0,1
user_244,16,Female,Guangdong,Android,2025-02-02,2025-12-30,332,1,16,100,0.0,0,0
user_245,50,Female,Sichuan,iOS,2025-11-08,2025-12-26,53,5,13,18,10.4,1,0
user_246,23,Female,Shanghai,Android,2025-01-23,2025-12-23,342,8,0,81,0.0,0,0
user_247,30,Male,Zhejiang,Android,2025-02-18,2025-12-24,316,7,12,82,0.0,0,0
user_248,21,Female,Zhejiang,Android,2025-03-17,2025-11-30,289,31,0,48,0.0,0,1
user_249,30,Male,Sichuan,Android,2025-02-27,2025-11-24,307,37,0,30,0.0,0,1
user_250,20,Female,Shanghai,Android,2025-05-12,2025-12-17,233,14,0,30,0.0,0,0
user_251,19,Female,Beijing,Android,2025-03-15,2025-12-25,291,6,14,88,0.0,0,1
user_252,46,Female,Zhejiang,Android,2025-06-20,2025-12-28,194,3,11,51,0.0,0,1
user_253,16,Female,Zhejiang,iOS,2025-12-27,2025-11-01,4,60,0,1,0.0,0,1
user_254,38,Male,Zhejiang,Android,2025-10-15,2025-11-13,77,48,0,5,0.0,0,1
user_255,33,Female,Shanghai,Android,2025-03-20,2025-12-03,286,28,0,4,0.0,0,1
user_256,36,Female,Zhejiang,iOS,2025-07-10,2025-12-29,174,2,20,65,3168.79,1,0
user_257,22,Female,Beijing,Android,2025-03-19,2025-12-30,287,1,17,100,58.57,1,0
user_258,17,Female,Zhejiang,Android,2025-10-25,2025-12-29,67,2,17,27,0.0,0,0
user_259,49,Male,Sichuan,Android,2025-02-06,2025-12-30,328,1,19,100,0.0,0,0
user_260,38,Male,Shanghai,iOS,2025-12-11,2025-11-13,20,48,0,2,0.0,0,1
user_261,28,Female,Shanghai,Android,2025-03-06,2025-12-23,300,8,0,83,0.0,0,0
user_262,39,Female,Guangdong,iOS,2025-02-11,2025-11-10,323,51,0,24,0.0,0,1
user_263,43,Male,Guangdong,iOS,2025-05-22,2025-12-30,223,1,18,89,0.0,0,0
user_264,32,Male,Guangdong,Android,2025-05-09,2025-12-30,236,1,18,94,66.19,1,0
user_265,29,Male,Beijing,Android,2025-12-05,2025-12-25,26,6,10,6,0.0,0,0
user_266,29,Male,Sichuan,iOS,2025-06-30,2025-12-31,184,0,21,58,0.0,0,0
user_267,30,Female,Sichuan,Android,2025-11-04,2025-12-27,57,4,14,15,0.0,0,0
user_268,50,Male,Zhejiang,iOS,2025-06-16,2025-11-01,198,60,0,5,0.0,0,1
user_269,28,Female,Zhejiang,iOS,2025-01-15,2025-12-21,350,10,0,100,0.0,0,0
user_270,26,Male,Zhejiang,iOS,2025-03-03,2025-11-26,303,35,0,14,0.0,0,0
user_271,16,Female,Shanghai,Android,2025-03-15,2025-12-23,291,8,0,69,0.0,0,0
user_272,49,Female,Sichuan,iOS,2025-11-28,2025-12-07,33,24,0,6,0.0,0,1
user_273,16,Female,Beijing,Android,2025-04-01,2025-12-29,274,2,20,100,165.68,1,0
user_274,32,Female,Beijing,Android,2025-10-06,2025-12-29,86,2,15,31,27.48,1,0
user_275,48,Female,Beijing,iOS,2025-10-06,2025-12-29,86,2,15,26,0.0,0,0
user_276,34,Female,Shanghai,iOS,2025-02-06,2025-12-29,328,2,20,99,122.27,1,0
user_277,46,Female,Sichuan,Android,2025-04-23,2025-12-03,252,28,0,27,0.0,0,1
user_278,25,Female,Zhejiang,Android,2025-08-11,2025-12-30,142,1,15,44,46.62,1,0
user_279,16,Female,Guangdong,iOS,2025-02-22,2025-12-23,312,8,0,78,105.22,1,0
user_280,30,Male,Shanghai,iOS,2025-04-21,2025-12-29,254,2,17,72,0.0,0,0
user_281,22,Female,Beijing,Android,2025-07-21,2025-12-29,163,2,14,52,0.0,0,0
user_282,25,Female,Guangdong,Android,2025-06-30,2025-12-31,184,0,15,76,84.62,1,0
user_283,29,Male,Shanghai,iOS,2025-11-04,2025-12-29,57,2,19,26,0.0,0,0
user_284,50,Male,Zhejiang,Android,2025-10-09,2025-11-02,83,59,0,11,0.0,0,0
