user_id,age,gender,province,device_type,registration_date,last_login_date,total_spent,paid_before,session_count,days_since_last_login,churn_next_7d,level,play_sessions,play_time,fail_count,success_count,play_streak,average_session_time,progress_stall,average_spend_per_session,last_purchase_amount,purchase_frequency,subscription_status,special_event_spending,rewarded_ads_views,ad_watch_duration,interstitial_ads_views,ad_engagement_level,ad_revenue,friends_count,guild_membership,social_interactions,social_activity_frequency,leaderboard_rank,first_login_date,login_frequency,login_streak,session_timing
user_18,46,Female,Shandong,PC,2024-12-21,2024-12-23,1295.0333110594538,1,20,412,0,27,3,24,7,1,6,38.882660422729785,4,39.82028430803689,52.540692451091836,2,1,28.21786456492331,6,17,12,4,7.649789333908724,152,1,35,9,385,2023-08-02,1,16,Afternoon
user_19,51,Male,Guangdong,Mobile,2024-05-23,2024-06-20,457.2238903034096,1,25,598,0,5,91,33,4,1,25,20.442111125834202,0,48.11013430678352,98.17929065506843,8,1,57.537006482571684,9,29,3,1,23.47133758294792,124,0,32,12,299,2025-01-27,4,23,Evening
user_20,44,Female,Beijing,Mobile,2024-01-25,2024-02-18,159.26197374164133,0,66,721,1,6,52,58,8,3,9,20.395026620972352,1,21.921343764779742,130.8851188288442,7,1,45.071798553214734,0,10,9,0,34.54589109705164,51,0,48,26,339,2024-07-03,2,6,Morning
user_21,50,Female,Guangdong,Mobile,2023-10-22,2023-11-08,231.40384406662972,1,9,823,0,27,99,22,3,9,27,27.87041907469346,3,26.121513719047197,25.13963620846756,8,0,56.3817480575171,10,5,4,4,39.964190383382494,47,1,40,27,389,2024-05-11,8,28,Afternoon
user_22,49,Female,Shandong,Mobile,2025-03-06,2025-03-22,375.80894640321173,1,92,323,1,7,28,18,8,8,13,39.12925989580181,1,8.19556028459788,35.92677904063373,2,1,15.745295718984664,6,11,17,0,24.666313839827342,60,0,15,4,990,2023-06-22,4,28,Afternoon
user_23,49,Female,Shandong,Mobile,2025-05-14,2025-05-30,1010.789397014215,0,53,254,0,15,70,24,6,9,7,39.492413378590015,6,28.000536281327694,50.187774174309006,3,0,85.61495725959415,5,6,7,0,8.261894510520046,16,0,33,28,474,2023-04-15,3,7,Afternoon
user_24,53,Female,Shanghai,Mobile,2024-07-02,2024-07-16,507.96397068542797,0,61,572,0,26,70,44,5,8,8,27.38973891028948,3,8.088090198341865,194.77589460947414,4,0,90.95689433445877,5,4,13,2,20.73438548247158,39,1,42,23,616,2024-04-23,3,24,Morning
user_25,46,Female,Shandong,Mobile,2024-10-10,2024-10-17,6.838023987757859,1,38,479,1,1,55,33,3,3,22,10.032610594147975,5,30.949502228742674,80.03334748864116,9,1,44.966166311292255,12,7,1,0,39.31469644208491,74,1,25,27,802,2024-03-09,6,9,Afternoon
user_26,54,Female,Zhejiang,Mobile,2024-07-21,2024-08-11,741.0927901077434,1,3,546,0,24,57,42,1,8,17,37.01969652305199,0,46.72967471146184,120.19902803557427,5,0,28.042986157357685,15,19,7,3,20.642963530853642,88,0,36,24,962,2024-10-03,6,10,Morning
user_27,37,Female,Beijing,PC,2025-05-02,2025-05-13,2544.8272662939157,1,84,271,0,4,87,25,7,2,17,27.107138937311444,0,10.58922842584894,49.0670197304796,6,1,14.083342765301232,12,7,15,0,34.82653968021111,68,0,12,14,792,2024-11-23,6,5,Morning
user_28,39,Female,Shanghai,PC,2025-02-08,2025-03-04,1671.7262259019367,1,70,341,0,29,97,17,5,4,16,20.979892248698075,3,38.463622184798,98.6014455063401,1,0,68.37648247778044,1,14,6,4,25.360684083904488,84,1,16,22,142,2025-09-17,6,27,Evening
user_29,53,Female,Zhejiang,Mobile,2024-03-20,2024-03-21,1744.1778708494562,0,97,689,0,25,16,38,2,9,22,34.87585423047815,4,2.151618718097878,15.749715702805652,4,0,31.22318396207352,18,17,2,3,12.061156255469834,25,0,31,3,809,2025-07-10,8,21,Evening
user_30,41,Female,Guangdong,Mobile,2023-12-29,2024-01-09,1585.0283526122194,0,55,761,0,1,24,32,6,8,2,21.99497378050615,6,19.399364824759427,7.913687038543061,4,1,90.95385699133887,18,23,3,0,39.80752540115372,183,0,31,27,170,2023-07-13,8,4,Morning
user_31,43,Male,Beijing,PC,2023-05-03,2023-05-26,391.164095227736,1,1,989,0,11,69,54,9,5,8,11.02133518600794,5,6.4266768836949435,94.27797183747057,8,1,67.101247484487,18,17,6,3,4.210672703534351,39,1,27,21,13,2025-04-22,9,11,Morning
user_32,41,Female,Shandong,Mobile,2025-01-11,2025-02-01,1448.9949296796376,1,70,372,1,18,41,40,6,2,17,34.632166691710566,0,18.271296638189273,80.333198216164,8,0,64.56853251742407,17,13,3,0,26.24451413775753,95,0,28,17,669,2025-03-11,1,19,Morning
user_33,52,Female,Beijing,Mobile,2024-11-10,2024-11-14,154.50566027175353,1,45,451,1,14,77,49,5,9,13,26.37578203059287,6,9.503309062305291,28.239183618673707,6,0,55.94021158982409,5,27,8,3,10.444551712170247,195,0,24,13,449,2023-02-28,8,29,Afternoon
user_34,38,Female,Guangdong,PC,2024-02-24,2024-03-02,1072.1149074361297,1,98,708,1,22,47,58,1,8,18,20.144306146725885,6,19.291944516021484,137.832684355226,8,0,4.577633942872561,1,1,16,1,3.353281427068783,116,0,46,8,174,2024-04-22,5,7,Afternoon
user_35,48,Female,Shanghai,Mobile,2023-04-02,2023-04-28,1026.0178971652242,1,47,1017,0,11,76,23,7,5,24,17.526771290615535,0,21.458617499268986,198.58779468895364,9,0,93.1922435685587,18,2,16,2,25.146696854162442,135,0,21,12,674,2024-06-16,3,13,Afternoon
user_36,52,Female,Shanghai,Mobile,2023-03-04,2023-03-19,25.902388140784062,0,79,1057,0,10,69,39,0,3,28,27.81392378246277,2,15.728965016265,79.73371741814579,5,1,62.793749329946,5,18,19,3,24.97810779674618,72,1,26,12,959,2024-08-14,3,13,Evening
user_37,43,Female,Shanghai,PC,2024-05-26,2024-06-13,1551.0281349446211,0,26,605,0,27,31,48,0,3,22,16.241486446753004,6,33.17447552418333,125.28716854756149,1,0,99.40619833831104,19,4,13,4,35.34504508378604,44,0,43,12,132,2025-04-18,6,21,Morning
user_38,36,Female,Shandong,Mobile,2025-02-10,2025-02-22,2335.605361683995,0,14,351,1,17,92,36,5,7,28,19.7155265967101,0,46.02375051168657,192.63221253053266,1,0,53.735640477288705,14,13,13,2,37.237534652595244,16,0,37,27,540,2024-07-02,8,23,Afternoon
user_39,54,Female,Zhejiang,Mobile,2023-09-13,2023-09-30,311.1762839901765,1,54,862,0,4,92,56,4,6,10,29.09590928241951,2,20.629173331158345,166.47545951692817,2,1,71.0110891906213,5,1,12,2,36.38957443464484,168,1,19,2,595,2025-11-03,2,18,Afternoon
user_40,49,Female,Zhejiang,PC,2023-05-15,2023-05-16,1673.3937989956362,1,71,999,1,24,30,25,8,0,2,36.44633351217796,0,10.424814667276049,93.24689243723446,2,0,5.620955786622217,2,4,3,0,20.47793664583775,76,0,44,29,897,2023-08-09,9,25,Evening
user_41,41,Female,Beijing,Mobile,2025-05-24,2025-06-04,86.00022132018134,0,46,249,0,15,18,15,6,5,2,25.986709851747964,0,14.265415151603184,147.76040740752396,5,1,63.17361768234109,10,2,12,3,31.584489361328128,136,0,49,10,932,2025-05-25,5,25,Evening
user_42,46,Female,Shandong,PC,2025-04-01,2025-04-29,916.2103807550578,0,31,285,0,26,44,42,1,7,27,32.77319194897278,6,42.84604035132208,26.498873009854282,7,1,76.46496115903572,7,4,16,2,28.847262132198015,197,1,23,23,875,2024-11-08,5,29,Morning
user_43,42,Female,Shanghai,Mobile,2023-03-29,2023-03-30,664.8452170021217,1,88,1046,0,16,27,53,6,2,14,32.89181811289126,4,29.010346440237246,102.90866723729604,7,1,77.85142948525574,17,16,14,4,21.07808780584598,90,0,46,9,269,2024-10-23,1,9,Morning
user_44,49,Female,Shanghai,Mobile,2025-09-14,2025-09-29,789.489666288531,0,59,132,1,21,99,27,2,8,16,29.930618579781605,4,23.295540583040907,56.53299515880737,4,0,77.01116522302854,16,4,17,4,29.86063470929966,105,0,46,1,251,2024-11-14,6,13,Afternoon
user_45,37,Male,Guangdong,PC,2025-04-02,2025-04-30,2606.4670360977198,1,95,284,0,13,26,25,0,9,7,17.37515013041553,5,8.332199353937408,33.07157389133606,4,1,22.628262729366767,18,25,10,4,47.36239383531313,100,0,7,29,370,2023-12-02,5,13,Afternoon
user_46,48,Female,Guangdong,PC,2025-10-23,2025-11-13,2050.389642624849,1,29,87,1,9,60,21,7,1,21,36.00365794450725,0,23.036638107865315,85.82990034465243,3,1,97.53984776052259,18,9,3,0,9.644687184068868,102,0,13,4,618,2023-08-13,7,5,Afternoon
user_47,51,Male,Shanghai,Mobile,2025-08-31,2025-09-10,1537.5064300155911,0,96,151,0,11,18,29,2,5,21,23.088269669186992,5,14.646108164511947,27.07189633228927,2,1,99.51821206249387,16,17,19,1,45.28860478927631,23,0,38,23,773,2025-05-20,7,26,Afternoon
user_48,38,Male,Shanghai,PC,2025-07-22,2025-07-29,319.7900028398047,0,17,194,0,11,97,54,7,0,24,11.326322318071018,5,47.21499326481411,140.09803652672264,3,0,7.559587516160127,3,21,10,3,2.672775699159918,72,0,13,14,865,2023-02-04,4,12,Afternoon
user_49,52,Male,Shandong,PC,2023-05-01,2023-05-03,2428.3595478701545,0,14,1012,1,6,89,49,6,1,12,17.338380102085754,5,44.319435361370836,91.79176876661377,8,0,93.64464228117572,6,23,9,2,15.419460645083033,120,0,4,16,526,2023-07-07,5,25,Evening
user_50,42,Male,Zhejiang,Mobile,2025-11-27,2025-12-07,102.5951123171053,1,36,63,0,1,56,38,1,4,28,32.96645062297947,5,5.111224549581703,106.6977818803681,1,0,28.944919430436933,4,20,12,3,14.407262430576411,105,1,46,25,592,2024-10-04,8,1,Morning
user_51,38,Female,Guangdong,Mobile,2025-10-04,2025-10-28,1919.5647722145086,1,58,103,0,22,31,39,0,0,23,12.074000074524681,3,26.316020973800903,30.128811794963244,4,0,68.92840817509648,15,28,7,2,31.318255394045284,138,1,20,18,888,2025-08-20,2,18,Evening
user_52,36,Female,Zhejiang,Mobile,2025-07-13,2025-07-17,397.7351697409605,0,24,206,0,6,59,35,6,7,28,14.420932064647335,6,12.027858930218931,28.8145605576054,7,1,33.81109207361321,5,21,12,0,6.561247588864516,34,1,14,2,506,2025-08-25,1,26,Morning
user_53,40,Female,Shandong,PC,2024-10-06,2024-10-18,55.27205354358947,1,63,478,0,13,2,31,0,0,14,30.826804481251134,6,21.12807738669024,117.0996716167647,5,1,96.77543233731215,13,2,8,3,44.11738059198769,156,0,35,6,672,2024-05-08,6,21,Morning
user_54,44,Female,Shanghai,PC,2024-12-14,2025-01-02,1106.7159878450211,1,91,402,1,22,97,42,5,8,25,36.77802369182622,3,43.96555191432137,197.0169398180598,2,1,10.150385830353548,19,3,0,0,41.427570423252064,135,1,32,3,178,2023-11-07,4,21,Morning
user_55,38,Female,Zhejiang,PC,2025-05-09,2025-06-04,263.0283917619523,1,25,249,1,24,39,48,9,9,4,29.011960151729106,0,26.848211474538697,20.153866064307397,1,0,49.774681695637604,1,23,0,0,32.603290984263886,16,1,16,20,667,2024-06-04,3,22,Evening
user_56,52,Female,Shanghai,PC,2023-01-21,2023-02-01,279.14676982306673,0,59,1103,0,22,61,56,9,2,26,16.66873161488664,3,17.376549375167233,57.86055428459047,6,1,42.80477919420746,17,26,14,3,22.920691589609888,198,1,19,19,547,2024-01-04,7,24,Afternoon
user_57,46,Female,Shanghai,Mobile,2023-08-30,2023-09-07,365.3512836505777,1,32,885,0,5,63,38,7,1,4,11.602412897486458,0,11.186529351144856,174.02236419103963,5,0,32.60234522779849,17,29,3,3,46.64780210710392,139,1,0,13,259,2025-01-15,8,28,Morning
user_58,36,Female,Beijing,PC,2024-03-30,2024-04-17,65.80307234822257,0,82,662,1,15,96,31,6,0,18,28.45379747650935,4,40.215918110917976,15.382130438792151,3,0,64.55339908801486,12,15,19,2,41.5373277360278,92,0,15,17,260,2023-01-31,4,17,Morning
user_59,44,Male,Zhejiang,Mobile,2025-08-20,2025-08-31,194.95357893743235,0,18,161,0,27,18,54,3,8,3,11.42195733793492,6,31.60138275285301,175.3012585520233,9,0,13.105574342166747,17,7,0,4,24.965757404062245,108,0,44,14,135,2025-09-24,6,10,Evening
user_60,38,Female,Zhejiang,PC,2024-09-12,2024-09-23,5.152880902331048,1,37,503,1,18,17,22,0,3,1,28.38166155825271,1,23.935207560885328,105.33291069157549,3,1,71.6662418133697,16,4,11,0,35.09366772271556,49,0,17,22,461,2024-05-11,2,28,Evening
user_61,48,Female,Shanghai,Mobile,2023-10-30,2023-11-12,589.525313466371,0,26,819,0,20,98,18,0,0,17,16.767398324832854,2,11.656733339285925,82.24508801135875,2,1,98.05921238047873,12,12,10,1,28.34649760898423,113,1,9,11,489,2025-08-21,8,9,Afternoon
user_62,50,Male,Shandong,Mobile,2025-03-13,2025-03-16,88.01774948675121,1,9,329,1,14,39,33,3,0,7,37.13968187226489,6,17.378072333699436,62.626432305939716,5,0,80.45587144686301,11,1,18,2,29.397111919413227,23,0,22,16,643,2023-10-25,6,20,Afternoon
user_63,49,Male,Beijing,Mobile,2025-08-21,2025-09-02,1147.7582220051145,0,99,159,1,15,71,24,4,6,16,24.252780054620857,3,48.032327910187405,60.12631446744054,9,1,86.00167529095454,2,17,14,2,16.548803471873562,36,1,17,11,81,2024-07-30,9,8,Morning
user_64,42,Female,Shanghai,PC,2023-03-10,2023-03-13,268.69396134811643,0,64,1063,1,26,54,45,6,1,5,16.71815299929087,3,26.484406942685883,61.854713907446275,8,0,35.96367431790025,6,4,9,4,23.104230231244838,10,0,48,29,367,2023-02-23,6,28,Evening
user_65,48,Male,Guangdong,Mobile,2023-07-15,2023-07-25,2874.8277864366155,1,72,929,1,5,99,22,3,6,19,35.59435949675775,4,20.634264780919395,177.07581311107896,6,1,32.48866064812187,0,4,0,4,3.9060715394872103,98,0,8,18,59,2023-08-17,6,15,Afternoon
user_66,42,Male,Guangdong,Mobile,2023-05-20,2023-06-16,2049.8953795077114,0,20,968,0,26,94,36,9,6,7,17.62106195342525,3,26.549680075067872,145.03525080478232,3,0,51.70483546901332,4,22,2,0,17.867434583229624,186,1,45,2,74,2025-02-17,2,13,Afternoon
user_67,50,Male,Beijing,PC,2023-10-10,2023-10-27,341.70314696431296,0,54,835,0,4,76,53,0,9,14,19.197972295746265,0,39.170436789080824,134.27487855839897,6,0,4.572661476227269,0,23,13,2,34.7914257681076,54,1,29,23,239,2025-09-11,5,28,Afternoon
user_68,47,Female,Shandong,Mobile,2023-11-08,2023-11-30,1528.8512972743486,0,86,801,1,2,35,46,9,8,2,35.02833697166367,0,17.66533788864057,159.95108064144816,5,0,94.53581344565326,3,25,14,2,47.66080152530932,26,0,12,21,129,2024-01-08,9,21,Evening
user_69,52,Female,Shanghai,PC,2025-01-15,2025-01-17,1625.7954945094446,1,83,387,1,7,11,16,6,6,3,19.263760894017878,1,9.756599925697834,52.165817937824855,1,1,14.37851730161922,0,9,0,1,48.153205638151015,66,0,30,8,412,2024-04-13,1,17,Evening
user_70,49,Female,Zhejiang,PC,2023-10-04,2023-10-21,4309.751675676124,1,30,841,1,10,61,17,1,0,17,22.30491307691912,1,29.661869798613342,123.99051960426938,5,1,90.30130391680925,12,26,9,0,27.786143456244584,187,0,45,14,315,2024-02-24,4,9,Evening
user_71,47,Female,Beijing,Mobile,2023-03-02,2023-03-18,910.9052268886596,0,53,1058,1,16,44,46,1,7,16,20.429970122765997,6,33.595001070572295,92.55318155263224,7,1,8.35822220003557,13,28,0,0,30.331112590479105,1,1,42,2,374,2024-06-15,3,24,Evening
user_72,43,Female,Shandong,Mobile,2023-02-21,2023-02-23,85.52056296201943,0,92,1081,0,10,68,50,7,7,8,13.492009534911276,1,35.92318214496893,156.70588540483848,9,1,82.26249276785602,14,28,14,4,9.286059275048375,67,1,12,13,437,2025-09-14,1,21,Evening
user_73,49,Female,Zhejiang,PC,2023-06-02,2023-06-30,1040.8262204691216,0,99,954,1,18,25,23,9,3,18,11.166874367404784,0,44.21739194754035,62.54196598418381,1,1,15.196252587821512,16,21,2,0,34.765405404676535,145,1,31,10,138,2024-07-15,1,11,Morning
user_74,47,Male,Guangdong,Mobile,2024-06-27,2024-07-19,980.7752501393348,1,63,569,1,17,48,21,9,7,15,31.73622022182944,5,19.187531913766538,128.99254475710927,3,0,3.81316140914727,11,10,19,1,3.532939633719312,147,1,16,8,455,2023-03-31,1,4,Morning
user_75,35,Female,Guangdong,PC,2024-07-20,2024-08-09,1017.0799823158885,1,11,548,1,21,32,45,9,3,7,29.35411371807162,5,4.692389915215698,176.56026995164538,8,1,71.94894502594087,6,27,11,0,14.234284289972226,62,0,2,7,615,2024-01-04,1,24,Evening
user_76,41,Male,Zhejiang,PC,2024-09-13,2024-09-19,366.93547230568015,0,31,507,1,28,84,49,4,7,27,18.470982026561714,1,47.95908059791617,81.02794476279081,6,0,28.02653001744283,18,19,18,3,33.41816736427211,71,1,0,13,899,2023-01-15,2,25,Morning
user_77,43,Female,Beijing,PC,2023-11-10,2023-12-08,1963.8267934094783,1,49,793,1,13,95,26,9,4,9,18.867973749546355,1,22.315584444436283,14.257795386124828,5,1,71.44961527843495,2,19,15,3,15.515506577174465,129,1,4,26,903,2023-12-10,5,7,Evening
user_78,35,Female,Guangdong,Mobile,2025-03-17,2025-04-11,3205.7667000295905,1,94,303,1,1,4,49,1,3,6,38.35017349026044,0,31.539617973983436,103.69411364601676,2,1,55.50852504728198,17,15,7,1,2.492343705722716,82,1,31,24,9,2025-11-25,2,20,Morning
user_79,46,Male,Shanghai,PC,2025-04-27,2025-05-26,245.53297553362523,1,87,258,1,1,38,38,4,5,18,39.63013381700476,4,33.648960833286324,69.84852507359817,3,1,10.880739023006559,3,22,13,4,41.59352046754819,41,0,24,27,232,2025-07-05,4,23,Morning
user_80,42,Female,Zhejiang,Mobile,2023-04-07,2023-04-17,92.2821428892672,1,19,1028,0,15,63,36,7,1,18,24.203047097010806,6,27.779171726358975,134.77285072888782,2,0,93.21300733011637,2,17,17,2,15.516500356728152,155,0,44,19,611,2023-07-24,9,22,Afternoon
user_81,45,Female,Zhejiang,Mobile,2025-05-30,2025-06-27,216.3355697609433,0,12,226,1,1,47,10,5,1,25,34.07355236444481,3,11.057618957077235,190.25555202497262,1,1,45.23141747634776,11,7,0,0,3.1552612429339213,156,1,4,24,730,2025-02-14,3,27,Evening
user_82,53,Male,Guangdong,Mobile,2025-04-08,2025-04-18,1717.8705826393991,1,15,296,1,6,1,43,2,1,26,32.10057627608096,6,38.00200945569093,97.63605528137255,7,0,73.4447277798688,11,3,1,4,3.739408225143259,196,1,36,15,965,2025-12-16,2,28,Morning
user_83,51,Female,Beijing,Mobile,2023-05-17,2023-05-25,1129.0033587417938,1,31,990,1,25,3,13,7,8,24,18.91953128536141,2,40.3838467409,93.77185580095123,3,1,50.10205720156251,16,5,11,4,12.587939939437682,106,0,22,22,397,2024-11-16,4,3,Morning
user_84,42,Female,Shanghai,PC,2025-10-26,2025-10-27,1010.731481175337,0,43,104,0,26,86,33,8,9,14,11.75688131561435,5,28.09580371485455,131.2623752381006,7,0,60.436147496120476,5,16,16,0,8.900797361076313,27,0,11,2,749,2024-12-18,9,10,Afternoon
user_85,37,Male,Beijing,Mobile,2025-10-07,2025-10-20,513.8186569401086,0,37,111,0,13,62,30,4,2,14,14.276687714048201,5,24.939496868657237,21.59600321511997,7,0,30.277359235669245,14,23,1,2,38.71500588900754,187,1,33,22,734,2023-08-13,4,3,Morning
user_86,37,Female,Shandong,PC,2023-04-19,2023-05-13,862.3423975661598,1,79,1002,0,27,64,42,1,9,14,35.1488235100229,0,6.58297097327128,51.447731596077915,8,0,20.036030400345027,1,7,16,0,16.084202333351723,104,0,22,5,680,2023-03-05,5,1,Afternoon
user_87,35,Female,Shandong,PC,2024-06-30,2024-07-09,367.9874400137144,1,29,579,1,28,17,16,1,3,25,31.936414599888433,6,5.113631413489408,183.8768857745793,1,0,54.25702034080678,7,16,6,2,40.23478925199163,111,1,15,19,882,2025-08-05,4,14,Morning
user_88,39,Female,Guangdong,Mobile,2025-11-28,2025-12-20,648.5564491409594,0,26,50,1,1,78,10,6,9,4,29.930045333868335,0,17.63867743261291,134.3185800593895,5,1,44.021897297100196,13,9,5,1,8.69229989115764,132,0,48,1,574,2025-08-18,8,13,Afternoon
user_89,44,Male,Guangdong,PC,2024-10-23,2024-11-02,1575.3410169640974,0,2,463,1,5,62,50,0,7,4,13.91946495089945,2,16.23146162035227,3.6753647526998345,9,1,39.01132134339331,4,1,5,2,24.64395897720419,14,1,4,7,318,2023-11-16,4,5,Afternoon
user_90,41,Female,Guangdong,PC,2024-02-29,2024-03-15,3976.1134912398484,0,84,695,0,9,35,12,9,3,15,29.197920623515742,6,47.72916609720029,41.72046903924495,7,0,67.2567195094623,2,3,7,4,34.40185667765644,109,1,43,18,999,2023-12-23,2,8,Evening
user_91,43,Male,Shandong,Mobile,2024-09-21,2024-09-26,2695.4635995998606,1,15,500,1,25,13,53,1,9,15,33.16456994479346,2,39.39751437972806,136.88461593975092,1,1,69.0506632011136,9,25,4,1,32.59954269329274,72,1,46,1,507,2023-04-03,4,12,Evening
user_92,41,Female,Beijing,PC,2023-09-18,2023-10-10,2716.0714279941794,1,4,852,0,17,35,24,9,9,18,35.818052495808715,1,33.336290467693935,153.11544130995227,8,0,4.5920056091263035,6,8,14,3,30.056470496513437,159,1,27,1,522,2024-11-25,2,6,Morning
user_93,43,Female,Beijing,PC,2023-03-28,2023-04-13,514.5387335791129,0,86,1032,0,16,43,40,3,6,14,10.396938375808546,6,26.364756361862646,168.13205496213433,3,1,33.874449424367214,10,18,6,1,46.24108009655849,179,0,5,7,746,2024-03-09,9,24,Evening
user_94,42,Female,Guangdong,PC,2024-04-09,2024-04-22,632.5976307505966,1,50,657,0,8,2,25,0,4,26,30.53425305635433,2,9.201009005605915,59.14318387302693,4,1,41.17645502263774,14,24,2,2,11.426257385337218,89,0,12,28,87,2025-04-20,8,23,Evening
